molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL497674,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2)cs1,IC50,=,4940.0,nM
CHEMBL508324,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc(C#N)cc2)cs1,IC50,=,5500.0,nM
CHEMBL456150,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc(C#N)cc2)cs1,IC50,=,7220.0,nM
CHEMBL453703,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1,IC50,=,43950.0,nM
CHEMBL498694,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1,IC50,=,42310.0,nM
CHEMBL497676,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2F)cs1,IC50,=,6830.0,nM
CHEMBL497675,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2F)cs1,IC50,=,4810.0,nM
CHEMBL524447,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2)cs1,IC50,=,3530.0,nM
CHEMBL502371,CC1CCCC/C1=N/Nc1nc(-c2ccccc2)cs1,IC50,=,41230.0,nM
CHEMBL86304,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,IC50,=,361380.0,nM
CHEMBL92401,CC(C)NNC(=O)c1ccncc1,IC50,=,6560.0,nM
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1,IC50,=,67250.0,nM
CHEMBL8706,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,IC50,=,4460.0,nM
CHEMBL498683,CC1CCCC/C1=N/Nc1nc(-c2ccc(C#N)cc2)cs1,IC50,=,31030.0,nM
CHEMBL457535,COc1ccc(-c2csc(N/N=C3/CCCCC3C)n2)cc1,IC50,=,2760.0,nM
CHEMBL494795,O=C(Nc1ccccc1)c1cc2ccccc2oc1=O,IC50,=,13120.0,nM
CHEMBL445184,Cc1cccc(NC(=O)c2cc3ccccc3oc2=O)c1,IC50,=,14500.0,nM
CHEMBL512843,Cc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,IC50,=,19450.0,nM
CHEMBL469583,CCc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,IC50,=,15670.0,nM
CHEMBL470213,CC(C)c1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,IC50,=,15140.0,nM
CHEMBL470419,CCOC(=O)c1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,IC50,=,15980.0,nM
CHEMBL470220,CSc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,IC50,=,14760.0,nM
CHEMBL470221,O=C(Nc1ccc(F)cc1)c1cc2ccccc2oc1=O,IC50,=,13060.0,nM
CHEMBL513209,O=C(O)c1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,IC50,=,9970.0,nM
CHEMBL470222,O=C(Cl)c1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,IC50,=,9670.0,nM
